ARPSPOOFER; 2019-05-10 00:12:37; INFO; Initializing ARPspoofer...
ARPSPOOFER; 2019-05-10 00:12:37; INFO; Loading config...
ARPSPOOFER; 2019-05-10 00:12:37; WARNING; Used kernel ipv4 forwarding feature.
ARPSPOOFER; 2019-05-10 00:12:37; INFO; Kernel IPv4 forwarding enabled
ARPSPOOFER; 2019-05-10 00:12:37; CRITICAL; IP of gateway not specified! Using default one: 192.168.0.1
ARPSPOOFER; 2019-05-10 00:12:38; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:12:58; INFO; Initializing ARPspoofer...
ARPSPOOFER; 2019-05-10 00:12:58; INFO; Loading config...
ARPSPOOFER; 2019-05-10 00:12:58; WARNING; Used kernel ipv4 forwarding feature.
ARPSPOOFER; 2019-05-10 00:12:58; INFO; Kernel IPv4 forwarding enabled
ARPSPOOFER; 2019-05-10 00:12:58; CRITICAL; IP of gateway not specified! Using default one: 192.168.0.1
ARPSPOOFER; 2019-05-10 00:12:59; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:13:26; INFO; Initializing ARPspoofer...
ARPSPOOFER; 2019-05-10 00:13:26; INFO; Loading config...
ARPSPOOFER; 2019-05-10 00:13:26; WARNING; Used kernel ipv4 forwarding feature.
ARPSPOOFER; 2019-05-10 00:13:26; INFO; Kernel IPv4 forwarding enabled
ARPSPOOFER; 2019-05-10 00:13:26; CRITICAL; IP of gateway not specified! Using default one: 192.168.0.1
ARPSPOOFER; 2019-05-10 00:13:26; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:14:05; INFO; Initializing ARPspoofer...
ARPSPOOFER; 2019-05-10 00:14:05; INFO; Loading config...
ARPSPOOFER; 2019-05-10 00:14:05; WARNING; Used kernel ipv4 forwarding feature.
ARPSPOOFER; 2019-05-10 00:14:05; INFO; Kernel IPv4 forwarding enabled
ARPSPOOFER; 2019-05-10 00:14:05; CRITICAL; IP of gateway not specified! Using default one: 192.168.0.1
ARPSPOOFER; 2019-05-10 00:14:05; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:14:05; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:14:05; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:14:05; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:14:05; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:14:05; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:14:06; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:14:06; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:14:06; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:14:06; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:14:06; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:14:06; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:14:06; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:14:06; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:14:06; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:14:06; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:14:07; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:14:07; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:14:07; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:14:07; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:14:07; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:14:07; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:14:07; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:14:07; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:14:07; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:14:07; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:14:32; INFO; Initializing ARPspoofer...
ARPSPOOFER; 2019-05-10 00:14:32; INFO; Loading config...
ARPSPOOFER; 2019-05-10 00:14:32; WARNING; Used kernel ipv4 forwarding feature.
ARPSPOOFER; 2019-05-10 00:14:32; INFO; Kernel IPv4 forwarding enabled
ARPSPOOFER; 2019-05-10 00:14:32; CRITICAL; IP of gateway not specified! Using default one: 192.168.0.1
ARPSPOOFER; 2019-05-10 00:14:33; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:14:33; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:14:33; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:14:33; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:14:33; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:14:33; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:14:33; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:14:33; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:14:34; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:14:34; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:14:34; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:14:34; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:14:34; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:14:34; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:14:34; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:14:34; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:14:34; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:14:34; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:14:35; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:14:35; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:14:35; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:14:35; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:14:35; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:14:35; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:14:35; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:14:35; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:15:47; INFO; Initializing ARPspoofer...
ARPSPOOFER; 2019-05-10 00:15:47; INFO; Loading config...
ARPSPOOFER; 2019-05-10 00:15:47; WARNING; Used kernel ipv4 forwarding feature.
ARPSPOOFER; 2019-05-10 00:15:47; INFO; Kernel IPv4 forwarding enabled
ARPSPOOFER; 2019-05-10 00:15:47; CRITICAL; IP of gateway not specified! Using default one: 192.168.0.1
ARPSPOOFER; 2019-05-10 00:15:47; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:15:48; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:15:48; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:15:48; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:15:48; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:15:48; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:15:48; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:15:48; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:15:48; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:15:48; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:15:48; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:15:49; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:15:49; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:15:49; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:15:49; DEBUG; Iterating...
